"SalesPersonID";"TerritoryID";"SalesQuota";"Bonus";"CommissionPct";"SalesYTD";"SalesLastYear";"ModifiedDate"
268;0;0.0;0.0;0.0;677558.4653;0.0;"2001-01-28 00:00:00"
275;2;300000.0;4100.0;0.012;4557045.0459;1750406.4785;"2001-06-24 00:00:00"
276;4;250000.0;2000.0;0.015;5200475.2313;1439156.0291;"2001-06-24 00:00:00"
277;3;250000.0;2500.0;0.015;3857163.6332;1997186.2037;"2001-06-24 00:00:00"
278;6;250000.0;500.0;0.01;1764938.9859;1620276.8966;"2001-06-24 00:00:00"
279;5;300000.0;6700.0;0.01;2811012.7151;1849640.9418;"2001-06-24 00:00:00"
280;1;250000.0;5000.0;0.01;0.0;1927059.178;"2001-06-24 00:00:00"
281;4;250000.0;3550.0;0.01;3018725.4858;2073505.9999;"2001-06-24 00:00:00"
282;6;250000.0;5000.0;0.015;3189356.2465;2038234.6549;"2001-06-24 00:00:00"
283;1;250000.0;3500.0;0.012;3587378.4257;1371635.3158;"2001-06-24 00:00:00"
284;0;0.0;0.0;0.0;636440.251;0.0;"2002-05-11 00:00:00"
285;10;250000.0;5150.0;0.02;5015682.3752;1635823.3967;"2002-06-24 00:00:00"
286;7;250000.0;985.0;0.016;3827950.238;2396539.7601;"2002-06-24 00:00:00"
287;1;300000.0;3900.0;0.019;1931620.1835;0.0;"2002-10-25 00:00:00"
288;0;0.0;0.0;0.0;219088.8836;0.0;"2003-04-08 00:00:00"
289;8;250000.0;75.0;0.018;2241204.0424;1307949.7917;"2003-06-24 00:00:00"
290;9;250000.0;5650.0;0.018;1758385.926;2278548.9776;"2003-06-24 00:00:00"
